# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.975975976    1.011414689    1.011322607    1.007608377
    0.990990991    1.011402622    1.011310564    1.007605922
    1.006006006    1.011390408    1.011298373    1.007603434
    1.021021021    1.011378046    1.011286036    1.007600912
    1.036036036    1.011365539    1.011273554    1.007598357
    1.051051051    1.011352887    1.011260927    1.007595768
    1.066066066    1.011340091    1.011248158    1.007593145
    1.081081081    1.011327154    1.011235246    1.007590489
    1.096096096    1.011314075    1.011222194    1.007587800
    1.111111111    1.011300856    1.011209002    1.007585077
    1.126126126    1.011287498    1.011195671    1.007582321
    1.141141141    1.011274002    1.011182203    1.007579532
    1.156156156    1.011260370    1.011168598    1.007576710
    1.171171171    1.011246603    1.011154859    1.007573855
    1.186186186    1.011232701    1.011140986    1.007570967
    1.201201201    1.011218666    1.011126980    1.007568047
    1.216216216    1.011204500    1.011112842    1.007565093
    1.231231231    1.011190202    1.011098574    1.007562108
    1.246246246    1.011175776    1.011084177    1.007559089
    1.261261261    1.011161221    1.011069652    1.007556038
    1.276276276    1.011146539    1.011055001    1.007552955
    1.291291291    1.011131731    1.011040223    1.007549840
    1.306306306    1.011116799    1.011025322    1.007546693
    1.321321321    1.011101743    1.011010298    1.007543513
    1.336336336    1.011086565    1.010995152    1.007540302
    1.351351351    1.011071266    1.010979885    1.007537059
    1.366366366    1.011055848    1.010964499    1.007533784
    1.381381381    1.011040311    1.010948995    1.007530477
    1.396396396    1.011024658    1.010933374    1.007527139
    1.411411411    1.011008888    1.010917637    1.007523769
    1.426426426    1.010993003    1.010901786    1.007520368
    1.441441441    1.010977006    1.010885822    1.007516935
    1.456456456    1.010960896    1.010869747    1.007513472
    1.471471471    1.010944675    1.010853561    1.007509977
    1.486486486    1.010928345    1.010837265    1.007506452
    1.501501502    1.010911906    1.010820862    1.007502895
    1.516516517    1.010895361    1.010804351    1.007499308
    1.531531532    1.010878709    1.010787736    1.007495690
    1.546546547    1.010861953    1.010771016    1.007492042
    1.561561562    1.010845094    1.010754193    1.007488363
    1.576576577    1.010828133    1.010737269    1.007484654
    1.591591592    1.010811071    1.010720244    1.007480914
    1.606606607    1.010793910    1.010703120    1.007477145
    1.621621622    1.010776651    1.010685898    1.007473345
    1.636636637    1.010759295    1.010668580    1.007469515
    1.651651652    1.010741843    1.010651167    1.007465656
    1.666666667    1.010724297    1.010633659    1.007461767
    1.681681682    1.010706658    1.010616059    1.007457849
    1.696696697    1.010688927    1.010598368    1.007453900
    1.711711712    1.010671106    1.010580586    1.007449923
    1.726726727    1.010653196    1.010562715    1.007445916
    1.741741742    1.010635198    1.010544757    1.007441880
    1.756756757    1.010617113    1.010526712    1.007437815
    1.771771772    1.010598942    1.010508582    1.007433722
    1.786786787    1.010580688    1.010490369    1.007429599
    1.801801802    1.010562351    1.010472073    1.007425448
    1.816816817    1.010543932    1.010453696    1.007421268
    1.831831832    1.010525433    1.010435238    1.007417060
    1.846846847    1.010506854    1.010416702    1.007412823
    1.861861862    1.010488198    1.010398089    1.007408558
    1.876876877    1.010469466    1.010379399    1.007404265
    1.891891892    1.010450658    1.010360634    1.007399944
    1.906906907    1.010431776    1.010341795    1.007395595
    1.921921922    1.010412822    1.010322884    1.007391219
    1.936936937    1.010393795    1.010303902    1.007386814
    1.951951952    1.010374699    1.010284849    1.007382383
    1.966966967    1.010355533    1.010265728    1.007377923
    1.981981982    1.010336300    1.010246539    1.007373437
    1.996996997    1.010317000    1.010227284    1.007368923
    2.012012012    1.010297634    1.010207964    1.007364383
    2.027027027    1.010278204    1.010188580    1.007359815
    2.042042042    1.010258712    1.010169133    1.007355221
    2.057057057    1.010239157    1.010149625    1.007350600
    2.072072072    1.010219542    1.010130056    1.007345953
    2.087087087    1.010199868    1.010110428    1.007341279
    2.102102102    1.010180136    1.010090743    1.007336578
    2.117117117    1.010160346    1.010071001    1.007331852
    2.132132132    1.010140501    1.010051203    1.007327100
    2.147147147    1.010120601    1.010031351    1.007322321
    2.162162162    1.010100648    1.010011446    1.007317517
    2.177177177    1.010080642    1.009991488    1.007312687
    2.192192192    1.010060586    1.009971480    1.007307832
    2.207207207    1.010040479    1.009951423    1.007302951
    2.222222222    1.010020324    1.009931317    1.007298045
    2.237237237    1.010000121    1.009911163    1.007293114
    2.252252252    1.009979872    1.009890963    1.007288158
    2.267267267    1.009959577    1.009870718    1.007283177
    2.282282282    1.009939238    1.009850430    1.007278171
    2.297297297    1.009918856    1.009830098    1.007273140
    2.312312312    1.009898432    1.009809724    1.007268085
    2.327327327    1.009877967    1.009789310    1.007263006
    2.342342342    1.009857462    1.009768857    1.007257902
    2.357357357    1.009836918    1.009748365    1.007252774
    2.372372372    1.009816337    1.009727836    1.007247622
    2.387387387    1.009795720    1.009707270    1.007242447
    2.402402402    1.009775067    1.009686669    1.007237247
    2.417417417    1.009754380    1.009666034    1.007232024
    2.432432432    1.009733659    1.009645367    1.007226777
    2.447447447    1.009712906    1.009624667    1.007221507
    2.462462462    1.009692122    1.009603936    1.007216214
    2.477477477    1.009671308    1.009583175    1.007210898
    2.492492492    1.009650464    1.009562386    1.007205559
    2.507507508    1.009629593    1.009541568    1.007200197
    2.522522523    1.009608694    1.009520724    1.007194812
    2.537537538    1.009587770    1.009499854    1.007189405
    2.552552553    1.009566820    1.009478959    1.007183975
    2.567567568    1.009545846    1.009458040    1.007178523
    2.582582583    1.009524849    1.009437099    1.007173049
    2.597597598    1.009503830    1.009416135    1.007167553
    2.612612613    1.009482790    1.009395151    1.007162034
    2.627627628    1.009461730    1.009374147    1.007156495
    2.642642643    1.009440651    1.009353124    1.007150933
    2.657657658    1.009419553    1.009332082    1.007145350
    2.672672673    1.009398438    1.009311024    1.007139746
    2.687687688    1.009377307    1.009289950    1.007134120
    2.702702703    1.009356160    1.009268860    1.007128473
    2.717717718    1.009334999    1.009247757    1.007122805
    2.732732733    1.009313824    1.009226639    1.007117117
    2.747747748    1.009292637    1.009205510    1.007111408
    2.762762763    1.009271437    1.009184369    1.007105678
    2.777777778    1.009250227    1.009163217    1.007099927
    2.792792793    1.009229007    1.009142055    1.007094157
    2.807807808    1.009207777    1.009120885    1.007088366
    2.822822823    1.009186540    1.009099706    1.007082555
    2.837837838    1.009165294    1.009078520    1.007076725
    2.852852853    1.009144043    1.009057328    1.007070874
    2.867867868    1.009122785    1.009036130    1.007065004
    2.882882883    1.009101523    1.009014927    1.007059114
    2.897897898    1.009080256    1.008993721    1.007053205
    2.912912913    1.009058986    1.008972512    1.007047277
    2.927927928    1.009037714    1.008951300    1.007041330
    2.942942943    1.009016440    1.008930087    1.007035364
    2.957957958    1.008995165    1.008908873    1.007029378
    2.972972973    1.008973891    1.008887660    1.007023375
    2.987987988    1.008952616    1.008866447    1.007017352
    3.003003003    1.008931344    1.008845236    1.007011311
    3.018018018    1.008910073    1.008824027    1.007005252
    3.033033033    1.008888806    1.008802822    1.006999175
    3.048048048    1.008867542    1.008781621    1.006993080
    3.063063063    1.008846282    1.008760424    1.006986966
    3.078078078    1.008825028    1.008739232    1.006980836
    3.093093093    1.008803780    1.008718047    1.006974687
    3.108108108    1.008782538    1.008696868    1.006968521
    3.123123123    1.008761304    1.008675697    1.006962337
    3.138138138    1.008740077    1.008654535    1.006956137
    3.153153153    1.008718860    1.008633381    1.006949919
    3.168168168    1.008697652    1.008612237    1.006943684
    3.183183183    1.008676453    1.008591103    1.006937432
    3.198198198    1.008655266    1.008569980    1.006931164
    3.213213213    1.008634090    1.008548868    1.006924879
    3.228228228    1.008612926    1.008527769    1.006918578
    3.243243243    1.008591774    1.008506682    1.006912260
    3.258258258    1.008570636    1.008485610    1.006905926
    3.273273273    1.008549512    1.008464551    1.006899576
