# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    1.246246246    1.012544031    1.012451655    1.008245490
    1.261261261    1.012561896    1.012469490    1.008248712
    1.276276276    1.012580030    1.012487593    1.008251975
    1.291291291    1.012598434    1.012505966    1.008255280
    1.306306306    1.012617112    1.012524613    1.008258627
    1.321321321    1.012636065    1.012543534    1.008262016
    1.336336336    1.012655296    1.012562733    1.008265447
    1.351351351    1.012674807    1.012582211    1.008268919
    1.366366366    1.012694600    1.012601972    1.008272434
    1.381381381    1.012714679    1.012622017    1.008275992
    1.396396396    1.012735045    1.012642350    1.008279591
    1.411411411    1.012755701    1.012662972    1.008283234
    1.426426426    1.012776650    1.012683886    1.008286919
    1.441441441    1.012797895    1.012705096    1.008290647
    1.456456456    1.012819438    1.012726604    1.008294418
    1.471471471    1.012841281    1.012748412    1.008298232
    1.486486486    1.012863429    1.012770523    1.008302089
    1.501501502    1.012885883    1.012792941    1.008305990
    1.516516517    1.012908647    1.012815668    1.008309934
    1.531531532    1.012931724    1.012838708    1.008313922
    1.546546547    1.012955116    1.012862062    1.008317953
    1.561561562    1.012978828    1.012885736    1.008322029
    1.576576577    1.013002861    1.012909730    1.008326148
    1.591591592    1.013027219    1.012934050    1.008330312
    1.606606607    1.013051907    1.012958698    1.008334520
    1.621621622    1.013076926    1.012983677    1.008338773
    1.636636637    1.013102280    1.013008992    1.008343070
    1.651651652    1.013127974    1.013034645    1.008347412
    1.666666667    1.013154010    1.013060640    1.008351799
    1.681681682    1.013180392    1.013086980    1.008356231
    1.696696697    1.013207124    1.013113671    1.008360709
    1.711711712    1.013234209    1.013140714    1.008365231
    1.726726727    1.013261652    1.013168114    1.008369800
    1.741741742    1.013289457    1.013195876    1.008374414
    1.756756757    1.013317626    1.013224002    1.008379074
    1.771771772    1.013346166    1.013252497    1.008383780
    1.786786787    1.013375079    1.013281366    1.008388533
    1.801801802    1.013404369    1.013310612    1.008393332
    1.816816817    1.013434042    1.013340240    1.008398177
    1.831831832    1.013464102    1.013370254    1.008403070
    1.846846847    1.013494553    1.013400659    1.008408009
    1.861861862    1.013525400    1.013431459    1.008412995
    1.876876877    1.013556647    1.013462659    1.008418029
    1.891891892    1.013588299    1.013494264    1.008423110
    1.906906907    1.013620361    1.013526279    1.008428239
    1.921921922    1.013652839    1.013558708    1.008433416
    1.936936937    1.013685736    1.013591557    1.008438641
    1.951951952    1.013719059    1.013624830    1.008443914
    1.966966967    1.013752813    1.013658534    1.008449236
    1.981981982    1.013787002    1.013692674    1.008454607
    1.996996997    1.013821633    1.013727254    1.008460026
    2.012012012    1.013856711    1.013762282    1.008465494
    2.027027027    1.013892242    1.013797761    1.008471012
    2.042042042    1.013928231    1.013833699    1.008476579
    2.057057057    1.013964686    1.013870101    1.008482196
    2.072072072    1.014001610    1.013906973    1.008487862
    2.087087087    1.014039012    1.013944321    1.008493579
    2.102102102    1.014076897    1.013982152    1.008499346
    2.117117117    1.014115272    1.014020473    1.008505164
    2.132132132    1.014154143    1.014059289    1.008511033
    2.147147147    1.014193517    1.014098608    1.008516952
    2.162162162    1.014233401    1.014138437    1.008522923
    2.177177177    1.014273802    1.014178782    1.008528946
    2.192192192    1.014314727    1.014219651    1.008535020
    2.207207207    1.014356183    1.014261050    1.008541146
    2.222222222    1.014398179    1.014302989    1.008547324
    2.237237237    1.014440721    1.014345473    1.008553555
    2.252252252    1.014483818    1.014388511    1.008559838
    2.267267267    1.014527478    1.014432112    1.008566174
    2.282282282    1.014571708    1.014476282    1.008572564
    2.297297297    1.014616517    1.014521032    1.008579006
    2.312312312    1.014661913    1.014566368    1.008585503
    2.327327327    1.014707906    1.014612300    1.008592053
    2.342342342    1.014754504    1.014658836    1.008598658
    2.357357357    1.014801716    1.014705986    1.008605317
    2.372372372    1.014849551    1.014753760    1.008612031
    2.387387387    1.014898020    1.014802165    1.008618800
    2.402402402    1.014947132    1.014851214    1.008625625
    2.417417417    1.014996896    1.014900914    1.008632505
    2.432432432    1.015047324    1.014951277    1.008639440
    2.447447447    1.015098424    1.015002313    1.008646432
    2.462462462    1.015150209    1.015054033    1.008653481
    2.477477477    1.015202689    1.015106446    1.008660586
    2.492492492    1.015255875    1.015159566    1.008667748
    2.507507508    1.015309779    1.015213402    1.008674967
    2.522522523    1.015364411    1.015267968    1.008682244
    2.537537538    1.015419786    1.015323274    1.008689579
    2.552552553    1.015475913    1.015379332    1.008696972
    2.567567568    1.015532807    1.015436157    1.008704424
    2.582582583    1.015590479    1.015493759    1.008711935
    2.597597598    1.015648944    1.015552154    1.008719505
    2.612612613    1.015708214    1.015611353    1.008727134
    2.627627628    1.015768303    1.015671371    1.008734823
    2.642642643    1.015829226    1.015732221    1.008742573
    2.657657658    1.015890996    1.015793920    1.008750382
    2.672672673    1.015953630    1.015856480    1.008758253
    2.687687688    1.016017142    1.015919918    1.008766185
